Experience,Skills,Education,Certifications,Languages Known,Job Suitability Score
9,"HTML, CSS, JavaScript",Bachelors in Computer Science,Certified Statistician,"English, Japanese",33
19,"C++, Algorithms, Data Structures",PhD in AI,Certified Data Scientist,"English, Italian",76
15,"C++, Algorithms, Data Structures",PhD in AI,Certified Database Administrator,"English, German",58
7,"Matlab, Statistics, Data Mining",Masters in Data Science,Certified Data Analyst,"English, Russian",22
3,"SAS, Predictive Modeling, Data Wrangling",Bachelors in IT,Certified Machine Learning Expert,"English, Spanish",89
11,"Python, NLP, Neural Networks",Masters in Data Science,Certified Data Scientist,"English, Spanish",49
8,"Python, Data Analysis, Machine Learning",Bachelors in Mathematics,Certified Machine Learning Expert,"English, French",91
20,"AWS, Cloud Computing, DevOps",PhD in AI,Certified Machine Learning Expert,"English, Japanese",59
4,"Java, Spring, Microservices",Bachelors in Mathematics,Certified Data Scientist,"English, Spanish",42
3,"Matlab, Statistics, Data Mining",Masters in Statistics,Certified Software Developer,"English, Japanese",92
9,"C++, Algorithms, Data Structures",Masters in Data Science,Certified Database Administrator,"English, French",60
20,"SQL, Database Management, ETL",Masters in Computer Engineering,Certified AI Specialist,"English, Japanese",80
18,"SQL, Database Management, ETL",Bachelors in Computer Science,Certified Software Developer,"English, Chinese",15
8,"Matlab, Statistics, Data Mining",PhD in AI,Certified Statistician,"English, Spanish",62
2,"SAS, Predictive Modeling, Data Wrangling",Masters in Statistics,Certified AI Specialist,"English, Chinese",62
16,"AWS, Cloud Computing, DevOps",Masters in Statistics,Certified Statistician,"English, German",47
9,"HTML, CSS, JavaScript",Bachelors in Computer Science,Certified Software Developer,"English, Russian",62
18,"Java, Spring, Microservices",Bachelors in Computer Science,Certified AI Specialist,"English, Italian",51
6,"Python, NLP, Neural Networks",Bachelors in Computer Science,Certified Statistician,"English, Spanish",55
1,"AWS, Cloud Computing, DevOps",Masters in Computer Engineering,Certified Software Developer,"English, German",64
16,"SQL, Database Management, ETL",Bachelors in IT,Certified Database Administrator,"English, French",3
7,"Matlab, Statistics, Data Mining",Masters in Statistics,Certified Data Scientist,"English, Spanish",51
14,"Java, Spring, Microservices",Bachelors in Mathematics,Certified Database Administrator,"English, Spanish",7
11,"C++, Algorithms, Data Structures",Bachelors in Computer Science,Certified Statistician,"English, French",21
4,"R, Data Visualization, Deep Learning",Masters in Computer Engineering,Certified Statistician,"English, German",73
3,"Java, Spring, Microservices",Bachelors in Mathematics,Certified AI Specialist,"English, Russian",39
17,"Python, NLP, Neural Networks",Masters in Computer Engineering,Certified Statistician,"English, Japanese",18
19,"C++, Algorithms, Data Structures",Masters in Computer Engineering,Certified Database Administrator,"English, Russian",4
8,"C++, Algorithms, Data Structures",Masters in Computer Engineering,Certified Database Administrator,"English, Italian",89
19,"Java, Spring, Microservices",PhD in AI,Certified Data Analyst,"English, Russian",60
9,"Java, Spring, Microservices",Masters in Computer Engineering,Certified Software Developer,"English, Japanese",14
1,"AWS, Cloud Computing, DevOps",Bachelors in Mathematics,Certified Data Scientist,"English, Russian",9
14,"R, Data Visualization, Deep Learning",Bachelors in IT,Certified Machine Learning Expert,"English, German",90
12,"SAS, Predictive Modeling, Data Wrangling",Masters in Statistics,Certified Data Scientist,"English, French",53
12,"SQL, Database Management, ETL",Bachelors in Computer Science,Certified AI Specialist,"English, Japanese",2
15,"C++, Algorithms, Data Structures",PhD in AI,Certified Data Analyst,"English, Italian",84
18,"Python, NLP, Neural Networks",Masters in Computer Engineering,Certified Data Analyst,"English, French",92
6,"Java, Spring, Microservices",Bachelors in IT,Certified AI Specialist,"English, Japanese",60
1,"Matlab, Statistics, Data Mining",Masters in Computer Engineering,Certified Database Administrator,"English, Italian",71
4,"HTML, CSS, JavaScript",Bachelors in IT,Certified Data Scientist,"English, Russian",44
19,"Python, Data Analysis, Machine Learning",Masters in Statistics,Certified AI Specialist,"English, Spanish",8
1,"AWS, Cloud Computing, DevOps",Masters in Statistics,Certified Machine Learning Expert,"English, German",47
9,"C++, Algorithms, Data Structures",Bachelors in Computer Science,Certified Data Analyst,"English, Spanish",35
7,"C++, Algorithms, Data Structures",PhD in AI,Certified Data Analyst,"English, German",78
6,"SAS, Predictive Modeling, Data Wrangling",Bachelors in Mathematics,Certified Software Developer,"English, Chinese",81
6,"R, Data Visualization, Deep Learning",Masters in Data Science,Certified Database Administrator,"English, French",36
8,"SAS, Predictive Modeling, Data Wrangling",Masters in Statistics,Certified Statistician,"English, German",50
2,"SQL, Database Management, ETL",Bachelors in IT,Certified AI Specialist,"English, Chinese",4
6,"Java, Spring, Microservices",Bachelors in Computer Science,Certified Software Developer,"English, Japanese",2
7,"Matlab, Statistics, Data Mining",Bachelors in Mathematics,Certified Data Scientist,"English, Chinese",6
7,"Matlab, Statistics, Data Mining",Bachelors in Mathematics,Certified Statistician,"English, Italian",54
7,"C++, Algorithms, Data Structures",Masters in Statistics,Certified AI Specialist,"English, Italian",4
5,"AWS, Cloud Computing, DevOps",Masters in Statistics,Certified AI Specialist,"English, French",54
10,"Java, Spring, Microservices",Bachelors in Mathematics,Certified Data Scientist,"English, Russian",93
15,"Python, NLP, Neural Networks",Bachelors in Mathematics,Certified Data Analyst,"English, German",63
2,"SAS, Predictive Modeling, Data Wrangling",Bachelors in IT,Certified Statistician,"English, Russian",18
15,"SQL, Database Management, ETL",Masters in Data Science,Certified Machine Learning Expert,"English, Chinese",90
8,"SAS, Predictive Modeling, Data Wrangling",Bachelors in Mathematics,Certified Software Developer,"English, Russian",44
20,"C++, Algorithms, Data Structures",Bachelors in Mathematics,Certified Software Developer,"English, French",34
5,"C++, Algorithms, Data Structures",Masters in Data Science,Certified Data Analyst,"English, French",74
2,"Java, Spring, Microservices",Bachelors in Computer Science,Certified AI Specialist,"English, Chinese",62
4,"Matlab, Statistics, Data Mining",Masters in Statistics,Certified Machine Learning Expert,"English, Italian",100
7,"Java, Spring, Microservices",Bachelors in IT,Certified Database Administrator,"English, French",14
12,"Matlab, Statistics, Data Mining",Bachelors in Mathematics,Certified Machine Learning Expert,"English, Chinese",95
10,"HTML, CSS, JavaScript",Bachelors in Computer Science,Certified Database Administrator,"English, French",48
14,"AWS, Cloud Computing, DevOps",Bachelors in Computer Science,Certified Machine Learning Expert,"English, French",15
5,"C++, Algorithms, Data Structures",Masters in Computer Engineering,Certified Database Administrator,"English, Spanish",72
3,"Python, NLP, Neural Networks",Masters in Data Science,Certified Machine Learning Expert,"English, Japanese",78
6,"AWS, Cloud Computing, DevOps",Masters in Computer Engineering,Certified Data Scientist,"English, Italian",87
16,"HTML, CSS, JavaScript",Masters in Data Science,Certified Statistician,"English, Japanese",62
13,"Java, Spring, Microservices",Bachelors in Mathematics,Certified Machine Learning Expert,"English, Spanish",40
1,"Matlab, Statistics, Data Mining",Masters in Data Science,Certified AI Specialist,"English, French",85
6,"Python, NLP, Neural Networks",Bachelors in Mathematics,Certified Software Developer,"English, German",80
12,"SAS, Predictive Modeling, Data Wrangling",PhD in AI,Certified Data Analyst,"English, German",82
2,"Matlab, Statistics, Data Mining",Masters in Data Science,Certified Statistician,"English, Russian",53
18,"C++, Algorithms, Data Structures",Bachelors in IT,Certified Statistician,"English, German",24
6,"SQL, Database Management, ETL",Masters in Data Science,Certified AI Specialist,"English, German",26
14,"AWS, Cloud Computing, DevOps",Bachelors in Computer Science,Certified Data Scientist,"English, Chinese",89
4,"Python, NLP, Neural Networks",PhD in AI,Certified Machine Learning Expert,"English, Italian",60
3,"SAS, Predictive Modeling, Data Wrangling",Masters in Statistics,Certified Statistician,"English, Japanese",41
6,"R, Data Visualization, Deep Learning",Masters in Computer Engineering,Certified Data Scientist,"English, German",29
7,"Java, Spring, Microservices",Bachelors in Mathematics,Certified Machine Learning Expert,"English, Russian",15
3,"SQL, Database Management, ETL",Masters in Statistics,Certified Software Developer,"English, French",45
5,"R, Data Visualization, Deep Learning",Masters in Statistics,Certified Database Administrator,"English, Russian",65
14,"Python, NLP, Neural Networks",Bachelors in Mathematics,Certified Data Analyst,"English, French",89
4,"SQL, Database Management, ETL",Masters in Data Science,Certified AI Specialist,"English, Russian",71
14,"C++, Algorithms, Data Structures",PhD in AI,Certified Database Administrator,"English, Spanish",9
8,"Matlab, Statistics, Data Mining",PhD in AI,Certified Database Administrator,"English, Italian",88
6,"HTML, CSS, JavaScript",Masters in Statistics,Certified Database Administrator,"English, Spanish",1
9,"Matlab, Statistics, Data Mining",Bachelors in Mathematics,Certified AI Specialist,"English, Russian",8
17,"Java, Spring, Microservices",Bachelors in Computer Science,Certified Statistician,"English, Japanese",88
18,"SAS, Predictive Modeling, Data Wrangling",Bachelors in IT,Certified AI Specialist,"English, German",63
17,"Matlab, Statistics, Data Mining",Masters in Computer Engineering,Certified AI Specialist,"English, German",11
19,"SAS, Predictive Modeling, Data Wrangling",Masters in Computer Engineering,Certified Data Analyst,"English, Japanese",81
19,"C++, Algorithms, Data Structures",Bachelors in IT,Certified Statistician,"English, Chinese",8
11,"HTML, CSS, JavaScript",PhD in AI,Certified Data Scientist,"English, Japanese",35
15,"Java, Spring, Microservices",PhD in AI,Certified Data Analyst,"English, Chinese",35
6,"HTML, CSS, JavaScript",Bachelors in IT,Certified Software Developer,"English, Spanish",33
20,"C++, Algorithms, Data Structures",Bachelors in Mathematics,Certified Data Scientist,"English, Chinese",5
18,"Matlab, Statistics, Data Mining",Masters in Statistics,Certified Software Developer,"English, Chinese",41
19,"AWS, Cloud Computing, DevOps",Masters in Data Science,Certified AI Specialist,"English, Russian",28
7,"Python, Data Analysis, Machine Learning",Masters in Data Science,Certified Database Administrator,"English, Italian",7
15,"C++, Algorithms, Data Structures",Masters in Computer Engineering,Certified Data Analyst,"English, Italian",73
14,"R, Data Visualization, Deep Learning",Bachelors in Mathematics,Certified Machine Learning Expert,"English, French",72
6,"C++, Algorithms, Data Structures",Bachelors in Mathematics,Certified Data Analyst,"English, Spanish",12
20,"HTML, CSS, JavaScript",Bachelors in Computer Science,Certified Machine Learning Expert,"English, Russian",34
15,"Python, NLP, Neural Networks",Bachelors in Computer Science,Certified AI Specialist,"English, Chinese",33
9,"SAS, Predictive Modeling, Data Wrangling",Bachelors in Computer Science,Certified Data Scientist,"English, Japanese",48
11,"AWS, Cloud Computing, DevOps",Bachelors in IT,Certified Data Analyst,"English, Spanish",23
9,"SQL, Database Management, ETL",PhD in AI,Certified Machine Learning Expert,"English, Japanese",62
20,"AWS, Cloud Computing, DevOps",PhD in AI,Certified AI Specialist,"English, Japanese",88
7,"Matlab, Statistics, Data Mining",Bachelors in IT,Certified AI Specialist,"English, Spanish",37
1,"AWS, Cloud Computing, DevOps",Masters in Statistics,Certified Software Developer,"English, Italian",99
7,"AWS, Cloud Computing, DevOps",Bachelors in Computer Science,Certified Database Administrator,"English, Russian",44
13,"HTML, CSS, JavaScript",Masters in Computer Engineering,Certified AI Specialist,"English, Italian",86
10,"R, Data Visualization, Deep Learning",Bachelors in Mathematics,Certified Database Administrator,"English, Japanese",91
13,"C++, Algorithms, Data Structures",Bachelors in IT,Certified Machine Learning Expert,"English, Japanese",35
18,"R, Data Visualization, Deep Learning",Bachelors in Mathematics,Certified Software Developer,"English, Italian",65
15,"Java, Spring, Microservices",Masters in Data Science,Certified Software Developer,"English, Italian",99
3,"Matlab, Statistics, Data Mining",Bachelors in IT,Certified Statistician,"English, Italian",47
19,"HTML, CSS, JavaScript",Masters in Computer Engineering,Certified Data Analyst,"English, Russian",78
4,"R, Data Visualization, Deep Learning",Masters in Data Science,Certified Data Analyst,"English, Russian",3
5,"R, Data Visualization, Deep Learning",Bachelors in IT,Certified AI Specialist,"English, Russian",1
2,"C++, Algorithms, Data Structures",Masters in Computer Engineering,Certified Data Analyst,"English, Japanese",5
8,"HTML, CSS, JavaScript",Masters in Computer Engineering,Certified Data Analyst,"English, Russian",90
18,"Matlab, Statistics, Data Mining",Bachelors in Mathematics,Certified Data Analyst,"English, Russian",14
4,"SQL, Database Management, ETL",Bachelors in Computer Science,Certified Data Scientist,"English, Russian",27
18,"R, Data Visualization, Deep Learning",Masters in Computer Engineering,Certified Data Analyst,"English, German",9
16,"Python, Data Analysis, Machine Learning",Masters in Statistics,Certified Machine Learning Expert,"English, Chinese",79
13,"Matlab, Statistics, Data Mining",Bachelors in Mathematics,Certified Data Scientist,"English, Chinese",15
19,"Python, Data Analysis, Machine Learning",Masters in Statistics,Certified Statistician,"English, Chinese",90
5,"SQL, Database Management, ETL",PhD in AI,Certified Data Analyst,"English, Spanish",42
2,"Matlab, Statistics, Data Mining",Bachelors in Mathematics,Certified Statistician,"English, Chinese",77
17,"SQL, Database Management, ETL",Masters in Statistics,Certified AI Specialist,"English, Spanish",51
6,"Python, NLP, Neural Networks",Masters in Statistics,Certified Statistician,"English, Japanese",63
18,"C++, Algorithms, Data Structures",Bachelors in IT,Certified Data Analyst,"English, Japanese",96
8,"Python, Data Analysis, Machine Learning",Masters in Statistics,Certified Machine Learning Expert,"English, German",52
5,"SQL, Database Management, ETL",Masters in Computer Engineering,Certified Machine Learning Expert,"English, Spanish",96
8,"Python, NLP, Neural Networks",Bachelors in IT,Certified AI Specialist,"English, Spanish",4
2,"Python, Data Analysis, Machine Learning",Bachelors in IT,Certified Software Developer,"English, Russian",94
17,"R, Data Visualization, Deep Learning",Masters in Statistics,Certified Data Analyst,"English, Spanish",23
20,"SAS, Predictive Modeling, Data Wrangling",Bachelors in Mathematics,Certified Statistician,"English, French",15
18,"HTML, CSS, JavaScript",Masters in Computer Engineering,Certified Database Administrator,"English, Italian",43
3,"AWS, Cloud Computing, DevOps",Bachelors in Computer Science,Certified Machine Learning Expert,"English, Russian",29
8,"C++, Algorithms, Data Structures",Bachelors in Computer Science,Certified Statistician,"English, German",36
18,"SQL, Database Management, ETL",Masters in Computer Engineering,Certified Statistician,"English, Chinese",13
18,"HTML, CSS, JavaScript",Masters in Statistics,Certified Software Developer,"English, Italian",32
3,"Python, Data Analysis, Machine Learning",PhD in AI,Certified Machine Learning Expert,"English, French",71
11,"HTML, CSS, JavaScript",Bachelors in IT,Certified Machine Learning Expert,"English, German",59
17,"Python, NLP, Neural Networks",Masters in Statistics,Certified Machine Learning Expert,"English, Chinese",86
18,"C++, Algorithms, Data Structures",Bachelors in Mathematics,Certified Statistician,"English, Italian",28
3,"SAS, Predictive Modeling, Data Wrangling",Masters in Data Science,Certified Data Analyst,"English, Chinese",66
9,"AWS, Cloud Computing, DevOps",PhD in AI,Certified Machine Learning Expert,"English, French",42
9,"Matlab, Statistics, Data Mining",Masters in Statistics,Certified Data Scientist,"English, Spanish",45
11,"R, Data Visualization, Deep Learning",Bachelors in Mathematics,Certified Database Administrator,"English, Spanish",62
18,"Python, NLP, Neural Networks",Bachelors in Mathematics,Certified Machine Learning Expert,"English, Italian",57
5,"R, Data Visualization, Deep Learning",Masters in Computer Engineering,Certified Statistician,"English, Italian",6
6,"SAS, Predictive Modeling, Data Wrangling",Masters in Computer Engineering,Certified AI Specialist,"English, Japanese",28
2,"C++, Algorithms, Data Structures",Masters in Computer Engineering,Certified Machine Learning Expert,"English, Spanish",28
14,"Matlab, Statistics, Data Mining",Masters in Computer Engineering,Certified AI Specialist,"English, French",44
16,"AWS, Cloud Computing, DevOps",Masters in Statistics,Certified Data Scientist,"English, Japanese",84
7,"SAS, Predictive Modeling, Data Wrangling",PhD in AI,Certified Data Analyst,"English, Spanish",30
5,"SQL, Database Management, ETL",Masters in Computer Engineering,Certified Machine Learning Expert,"English, German",62
8,"C++, Algorithms, Data Structures",Masters in Data Science,Certified Data Analyst,"English, Chinese",75
3,"Python, NLP, Neural Networks",Bachelors in IT,Certified Software Developer,"English, Russian",92
17,"Java, Spring, Microservices",Masters in Data Science,Certified Data Analyst,"English, Russian",89
5,"SAS, Predictive Modeling, Data Wrangling",Masters in Computer Engineering,Certified Software Developer,"English, Japanese",62
20,"Python, NLP, Neural Networks",Bachelors in Mathematics,Certified Database Administrator,"English, Italian",97
15,"AWS, Cloud Computing, DevOps",PhD in AI,Certified AI Specialist,"English, German",1
3,"Python, NLP, Neural Networks",PhD in AI,Certified AI Specialist,"English, German",27
14,"C++, Algorithms, Data Structures",Bachelors in Mathematics,Certified Software Developer,"English, Spanish",62
18,"SAS, Predictive Modeling, Data Wrangling",Bachelors in Computer Science,Certified Statistician,"English, Spanish",77
3,"Java, Spring, Microservices",Masters in Data Science,Certified Database Administrator,"English, Russian",3
11,"C++, Algorithms, Data Structures",Bachelors in Mathematics,Certified Data Analyst,"English, Spanish",70
15,"Matlab, Statistics, Data Mining",Masters in Data Science,Certified Database Administrator,"English, Russian",72
6,"Matlab, Statistics, Data Mining",Masters in Data Science,Certified Software Developer,"English, German",27
9,"AWS, Cloud Computing, DevOps",Bachelors in Mathematics,Certified Database Administrator,"English, German",9
11,"R, Data Visualization, Deep Learning",Bachelors in Mathematics,Certified Data Scientist,"English, German",62
1,"SQL, Database Management, ETL",Masters in Computer Engineering,Certified Machine Learning Expert,"English, Spanish",37
2,"Python, NLP, Neural Networks",Bachelors in Mathematics,Certified Database Administrator,"English, German",97
1,"AWS, Cloud Computing, DevOps",Bachelors in IT,Certified Database Administrator,"English, Chinese",51
1,"AWS, Cloud Computing, DevOps",Bachelors in Mathematics,Certified Database Administrator,"English, Russian",44
1,"SAS, Predictive Modeling, Data Wrangling",Masters in Computer Engineering,Certified Database Administrator,"English, Russian",24
1,"Python, Data Analysis, Machine Learning",Masters in Computer Engineering,Certified Machine Learning Expert,"English, Russian",79
3,"Matlab, Statistics, Data Mining",Masters in Computer Engineering,Certified Data Analyst,"English, Russian",59
11,"C++, Algorithms, Data Structures",PhD in AI,Certified Data Scientist,"English, Chinese",32
6,"AWS, Cloud Computing, DevOps",Masters in Statistics,Certified Data Scientist,"English, Italian",96
19,"SAS, Predictive Modeling, Data Wrangling",Bachelors in Mathematics,Certified Database Administrator,"English, French",88
3,"HTML, CSS, JavaScript",Masters in Computer Engineering,Certified Statistician,"English, Spanish",52
3,"R, Data Visualization, Deep Learning",Masters in Computer Engineering,Certified Statistician,"English, German",62
7,"R, Data Visualization, Deep Learning",Masters in Computer Engineering,Certified Data Scientist,"English, Italian",58
16,"Python, NLP, Neural Networks",PhD in AI,Certified Software Developer,"English, Chinese",52
4,"C++, Algorithms, Data Structures",Bachelors in IT,Certified Data Scientist,"English, French",12
15,"C++, Algorithms, Data Structures",PhD in AI,Certified Statistician,"English, Chinese",39
18,"SAS, Predictive Modeling, Data Wrangling",Masters in Statistics,Certified Machine Learning Expert,"English, German",2
12,"AWS, Cloud Computing, DevOps",Bachelors in Mathematics,Certified Data Analyst,"English, Chinese",3
2,"SQL, Database Management, ETL",Bachelors in IT,Certified AI Specialist,"English, French",56
20,"R, Data Visualization, Deep Learning",Bachelors in IT,Certified AI Specialist,"English, Russian",81
1,"AWS, Cloud Computing, DevOps",Bachelors in Mathematics,Certified Database Administrator,"English, Russian",59
5,"C++, Algorithms, Data Structures",Bachelors in Mathematics,Certified Data Scientist,"English, French",2
12,"SQL, Database Management, ETL",Masters in Statistics,Certified Machine Learning Expert,"English, Spanish",2
11,"Python, Data Analysis, Machine Learning",PhD in AI,Certified Software Developer,"English, French",92
13,"C++, Algorithms, Data Structures",Masters in Computer Engineering,Certified Statistician,"English, Spanish",54
4,"HTML, CSS, JavaScript",Masters in Statistics,Certified Software Developer,"English, Chinese",87
17,"Matlab, Statistics, Data Mining",Bachelors in IT,Certified Database Administrator,"English, German",96
10,"Matlab, Statistics, Data Mining",PhD in AI,Certified Data Analyst,"English, Japanese",97
10,"Java, Spring, Microservices",Bachelors in Mathematics,Certified AI Specialist,"English, Japanese",1
9,"Matlab, Statistics, Data Mining",Bachelors in IT,Certified AI Specialist,"English, French",19
6,"AWS, Cloud Computing, DevOps",Bachelors in Computer Science,Certified Statistician,"English, Russian",2
3,"R, Data Visualization, Deep Learning",PhD in AI,Certified Machine Learning Expert,"English, Japanese",53
18,"Python, Data Analysis, Machine Learning",PhD in AI,Certified Database Administrator,"English, French",44
5,"R, Data Visualization, Deep Learning",Masters in Computer Engineering,Certified AI Specialist,"English, Japanese",90
20,"C++, Algorithms, Data Structures",Bachelors in IT,Certified Software Developer,"English, Italian",32
19,"R, Data Visualization, Deep Learning",Masters in Computer Engineering,Certified Machine Learning Expert,"English, Spanish",70
18,"Python, NLP, Neural Networks",Bachelors in IT,Certified AI Specialist,"English, German",32
16,"Java, Spring, Microservices",Masters in Data Science,Certified Data Scientist,"English, French",68
10,"AWS, Cloud Computing, DevOps",PhD in AI,Certified Database Administrator,"English, Chinese",55
16,"Python, Data Analysis, Machine Learning",Masters in Computer Engineering,Certified Software Developer,"English, Spanish",75
17,"R, Data Visualization, Deep Learning",Bachelors in Mathematics,Certified AI Specialist,"English, Spanish",56
3,"C++, Algorithms, Data Structures",PhD in AI,Certified Software Developer,"English, Italian",17
5,"Matlab, Statistics, Data Mining",Masters in Computer Engineering,Certified Machine Learning Expert,"English, French",38
6,"AWS, Cloud Computing, DevOps",PhD in AI,Certified Data Analyst,"English, Italian",24
10,"AWS, Cloud Computing, DevOps",Bachelors in IT,Certified Data Scientist,"English, Chinese",69
17,"SAS, Predictive Modeling, Data Wrangling",Bachelors in Computer Science,Certified Data Scientist,"English, Italian",98
20,"AWS, Cloud Computing, DevOps",Bachelors in IT,Certified Software Developer,"English, Chinese",70
2,"Python, Data Analysis, Machine Learning",Bachelors in IT,Certified Machine Learning Expert,"English, Italian",86
11,"R, Data Visualization, Deep Learning",Masters in Data Science,Certified Machine Learning Expert,"English, Italian",11
13,"Matlab, Statistics, Data Mining",PhD in AI,Certified Machine Learning Expert,"English, Spanish",16
16,"Matlab, Statistics, Data Mining",Bachelors in Computer Science,Certified Software Developer,"English, Italian",97
2,"Matlab, Statistics, Data Mining",Masters in Computer Engineering,Certified Software Developer,"English, Chinese",73
17,"SAS, Predictive Modeling, Data Wrangling",PhD in AI,Certified Data Scientist,"English, French",59
14,"SAS, Predictive Modeling, Data Wrangling",Masters in Data Science,Certified Database Administrator,"English, Spanish",70
15,"Matlab, Statistics, Data Mining",Bachelors in Mathematics,Certified Data Analyst,"English, Italian",80
1,"SQL, Database Management, ETL",Bachelors in Mathematics,Certified Statistician,"English, Russian",93
2,"C++, Algorithms, Data Structures",Masters in Data Science,Certified Database Administrator,"English, French",3
20,"SQL, Database Management, ETL",Masters in Statistics,Certified Software Developer,"English, French",20
2,"Matlab, Statistics, Data Mining",Bachelors in IT,Certified Software Developer,"English, Italian",59
1,"SAS, Predictive Modeling, Data Wrangling",Bachelors in Computer Science,Certified Statistician,"English, German",36
9,"HTML, CSS, JavaScript",Masters in Statistics,Certified Statistician,"English, Japanese",19
8,"R, Data Visualization, Deep Learning",Bachelors in IT,Certified Database Administrator,"English, Japanese",90
13,"SAS, Predictive Modeling, Data Wrangling",PhD in AI,Certified Data Analyst,"English, French",67
12,"Python, Data Analysis, Machine Learning",Bachelors in IT,Certified Software Developer,"English, Russian",19
11,"AWS, Cloud Computing, DevOps",Masters in Computer Engineering,Certified Data Scientist,"English, Russian",20
3,"HTML, CSS, JavaScript",Bachelors in IT,Certified Statistician,"English, French",96
12,"SAS, Predictive Modeling, Data Wrangling",Masters in Statistics,Certified Statistician,"English, French",71
17,"R, Data Visualization, Deep Learning",Masters in Statistics,Certified Software Developer,"English, Italian",52
9,"Python, Data Analysis, Machine Learning",Bachelors in Mathematics,Certified Statistician,"English, Chinese",33
17,"R, Data Visualization, Deep Learning",PhD in AI,Certified Software Developer,"English, Chinese",40
5,"C++, Algorithms, Data Structures",Masters in Data Science,Certified AI Specialist,"English, German",39
13,"SQL, Database Management, ETL",Bachelors in IT,Certified Statistician,"English, Chinese",82
13,"AWS, Cloud Computing, DevOps",Masters in Statistics,Certified Statistician,"English, Chinese",1
19,"Matlab, Statistics, Data Mining",PhD in AI,Certified Software Developer,"English, Chinese",11
4,"Python, Data Analysis, Machine Learning",PhD in AI,Certified Software Developer,"English, Japanese",92
8,"R, Data Visualization, Deep Learning",Bachelors in Computer Science,Certified Machine Learning Expert,"English, German",57
14,"SAS, Predictive Modeling, Data Wrangling",Masters in Data Science,Certified Database Administrator,"English, Chinese",89
5,"HTML, CSS, JavaScript",Bachelors in Mathematics,Certified Data Scientist,"English, Chinese",50
9,"R, Data Visualization, Deep Learning",Masters in Computer Engineering,Certified Software Developer,"English, Russian",23
17,"R, Data Visualization, Deep Learning",Masters in Computer Engineering,Certified Data Scientist,"English, Japanese",31
8,"C++, Algorithms, Data Structures",PhD in AI,Certified Data Scientist,"English, German",94
11,"Python, Data Analysis, Machine Learning",PhD in AI,Certified Software Developer,"English, French",42
12,"SAS, Predictive Modeling, Data Wrangling",Masters in Statistics,Certified Database Administrator,"English, Russian",99
2,"AWS, Cloud Computing, DevOps",Masters in Computer Engineering,Certified Data Scientist,"English, French",7
12,"AWS, Cloud Computing, DevOps",Bachelors in Computer Science,Certified AI Specialist,"English, German",16
10,"R, Data Visualization, Deep Learning",Masters in Computer Engineering,Certified Data Scientist,"English, Spanish",90
6,"Python, Data Analysis, Machine Learning",Bachelors in Mathematics,Certified Data Analyst,"English, Russian",60
19,"Python, Data Analysis, Machine Learning",Masters in Statistics,Certified Machine Learning Expert,"English, German",2
13,"SAS, Predictive Modeling, Data Wrangling",Bachelors in Computer Science,Certified Data Analyst,"English, Japanese",1
